,rank_test_score,param_mlpregressor__alpha,param_mlpregressor__hidden_layer_sizes,param_mlpregressor__max_iter,param_mlpregressor__solver,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0,1,0.0001,"(8, 8)",25,adam,-0.7929308135074467,0.46595833513953117,683.5206621170043,116.4707741252726,2.6961960792541504,0.3521427817049685,-0.5975309413379549,-0.6494378394860264,-1.675747429715939,-0.29789630003006634,-0.7440415569672473
1,2,0.01,"(8, 8)",25,adam,-0.7949780444228669,0.4641848866884147,751.7805191040039,147.41876020749496,2.688837242126465,0.39514620771662906,-0.6210194290826201,-0.6244913749455732,-1.672264198336873,-0.29788462804737453,-0.7592305917018943
2,3,0.1,"(8, 8)",25,adam,-0.7986851763788018,0.4766497356386129,385.63537073135376,21.126057910404544,2.0274088859558104,0.10978021931944903,-0.6103901091460059,-0.6276004605093624,-1.7034306319877763,-0.29799615352733466,-0.7540085267235295
3,4,0.01,"(8, 16)",25,adam,-0.8053310072159012,0.45140800644213597,668.7569764614105,179.17850323249297,2.497766208648682,0.3456611723595571,-0.6477338537053494,-0.6684250996113584,-1.647583599007994,-0.2907680114736993,-0.7721444722811052
4,5,0.1,"(8, 16)",25,adam,-0.8066774739442918,0.448812311317086,396.67181692123415,10.467439270603917,2.186073637008667,0.04693582785976096,-0.6526228586942441,-0.6705036593619694,-1.6420781083001215,-0.29079552757854055,-0.7773872157865834
5,6,0.001,"(8, 16)",25,adam,-0.8180196726774579,0.47088981375904987,540.2105890750885,125.88086849397446,2.3792527675628663,0.21972915843244134,-0.6467837279284165,-0.6516410707825422,-1.7046844012035387,-0.30393237306927895,-0.783056790403513
6,7,0.0001,"(8, 16)",25,adam,-0.8188970764168804,0.4619137332829084,553.554774570465,121.54112216654143,2.399104642868042,0.2307245536105159,-0.6617560612370985,-0.6717091240214151,-1.6863694288691535,-0.30345536157253505,-0.7711954063841999
7,8,0.001,"(8, 8)",25,adam,-0.8290114927741788,0.5275500434679075,700.2695773601532,112.97530069441372,2.5912453174591064,0.3002665605604238,-0.5966149915777228,-0.6532550261273349,-1.8385819376725712,-0.29747511464034176,-0.7591303938529238
8,9,0.0001,"(8, 16)",25,lbfgs,-1.2768224856253907,0.605066055292281,107.69888310432434,6.481773858116542,2.0099239349365234,0.12997509910828167,-1.040376059118656,-1.5823409779623223,-2.3119999525749155,-0.725079271998043,-0.7243161664730178
9,10,0.01,"(8, 16)",25,lbfgs,-1.2768224859972204,0.6050660548253576,102.52946739196777,3.343810592437793,1.9208729267120361,0.015554262779592203,-1.0403760593096472,-1.582340977962197,-2.311999952294299,-0.7250792718236447,-0.724316168596315
10,11,0.001,"(8, 16)",25,lbfgs,-1.2768224863054585,0.6050660546527804,103.23075199127197,3.629069668127404,1.924057388305664,0.027578345814699166,-1.040376059421796,-1.5823409779608966,-2.311999952480074,-0.7250792719966979,-0.724316169667828
11,12,0.1,"(8, 16)",25,lbfgs,-1.2768225096796075,0.605066047008724,120.88075528144836,3.7254471729966983,2.1923640727996827,0.12227864469467777,-1.0403761887915968,-1.582340977948283,-2.311999952838064,-0.7250792718199018,-0.7243161570001911
12,13,0.001,"(8, 8)",25,lbfgs,-1.3325971902800042,0.5016043181462718,78.07345924377441,5.6824723757655535,1.8304950714111328,0.013668333354657147,-1.0328135163257277,-1.5576871028661283,-2.1696646022792345,-0.7002031833613007,-1.202617546567629
13,14,0.01,"(8, 8)",25,lbfgs,-1.332597190282317,0.5016043181504484,77.96004438400269,5.907074826743729,1.8279601097106934,0.0345535656677993,-1.0328135163310073,-1.5576871028649304,-2.1696646022878467,-0.7002031833514059,-1.2026175465763942
14,15,0.0001,"(8, 8)",25,lbfgs,-1.3325971902931424,0.5016043181565487,83.46905517578125,11.35620762267139,2.0441635608673097,0.29991644633014725,-1.032813516342316,-1.557687102866717,-2.1696646023180226,-0.7002031833624723,-1.2026175465761852
15,16,0.1,"(8, 8)",25,lbfgs,-1.3325971904895333,0.5016043186553546,80.47889132499695,5.590327654044894,1.8732776641845703,0.08520657474563227,-1.0328135160819543,-1.557687102875096,-2.169664603638852,-0.7002031832546729,-1.2026175465970912
