,rank_test_score,param_linearregression__fit_intercept,param_polynomialfeatures__degree,param_truncatedsvd__n_components,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0,1,False,3,6,-1.3255730828810717,0.45495426880422724,62.322116422653195,5.659927116193744,2.715129518508911,0.13029434938770146,-1.0255487303081054,-1.5478037708539223,-2.0472380596613213,-0.7143016610561849,-1.2929731925258245
1,2,True,3,6,-1.3311770416578845,0.45660554532597347,68.14290494918824,2.5094837730574255,2.8613256454467773,0.1742938329450148,-1.0350667522382337,-1.5492947467913183,-2.056008164758132,-0.7139838126688618,-1.3015317318328763
2,3,False,3,4,-1.4025014973471683,0.5158425092097693,18.521803188323975,0.69357789379854,2.0837074279785157,0.1159112682983897,-1.091103896017232,-1.4715860365623477,-2.330221303835145,-0.8017563747592851,-1.317839875561832
3,4,True,3,4,-1.4076194948093714,0.5177843941559274,25.290573644638062,4.106697848562824,2.310874605178833,0.5868578197982679,-1.1017074554308222,-1.4712670792773959,-2.339563103740312,-0.8015112387163439,-1.3240485968819833
4,5,False,3,5,-1.4481718981679856,0.522967699658303,30.763475608825683,0.7650720858922242,2.336329793930054,0.04293396169570903,-1.1193938795282936,-1.6418352001240546,-2.334070155593172,-0.7941926825209364,-1.351367573073472
5,6,True,3,5,-1.4509799039209732,0.5242044006974731,33.991386365890506,1.2642564450681375,2.4080904006958006,0.13687166222575897,-1.127190737605103,-1.6364651228050222,-2.3419808567706526,-0.7939643485112925,-1.3552984539127961
