,rank_test_score,param_mlpregressor__alpha,param_mlpregressor__hidden_layer_sizes,param_mlpregressor__max_iter,param_mlpregressor__solver,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0,1,0.01,"(2,)",25,adam,-1.104087146192557,0.27599731280138223,289.84958543777464,84.1397829498054,2.1160888195037844,0.3662984922240378,-1.039953716229613,-1.5054683484358475,-0.9999111747503565,-0.6895254483867942,-1.285577043160174
1,2,0.0001,"(2,)",25,adam,-1.104570331593194,0.2752778337808882,251.06369638442993,60.081930371309866,2.0574150562286375,0.3802775554574808,-1.0399532905047093,-1.505473009988731,-0.9999111747503574,-0.6919304104725822,-1.2855837722495913
2,3,0.1,"(2,)",25,adam,-1.1156966132997805,0.25901324301804113,215.49767141342164,43.32507670133602,1.8311966419219972,0.03698358895797384,-1.0399535378086946,-1.5054684981181259,-0.9999111747503567,-0.7475733667581819,-1.2855764890635428
3,4,0.001,"(2,)",25,adam,-1.1156972771562068,0.25901360818109703,278.8793363571167,76.0708323303521,2.1867512226104737,0.30141136211657815,-1.0399536514832055,-1.5054683176013361,-0.999911174750357,-0.7475734101739273,-1.2855798317722087
4,5,0.1,"(8,)",25,lbfgs,-1.204931755899945,0.385526288720331,47.95192713737488,2.4605859158908547,1.8342000484466552,0.019240598702509628,-0.8259827418131481,-1.6390013535094377,-1.6216744031846602,-0.7178707542565349,-1.2201295267359438
5,6,0.0001,"(8,)",25,lbfgs,-1.204931756043208,0.3855262919936785,48.72088437080383,3.724154657633921,1.8814420223236084,0.05014458268547763,-0.8259827417901041,-1.6390013534105936,-1.6216744108301184,-0.7178707477633745,-1.2201295264218492
6,7,0.001,"(8,)",25,lbfgs,-1.2049317561039796,0.3855262917696524,55.9094398021698,2.9957579845608584,2.059159994125366,0.02641071692098471,-0.8259827417902588,-1.6390013534072967,-1.6216744105190817,-0.7178707483808263,-1.2201295264224346
7,8,0.01,"(8,)",25,lbfgs,-1.2049317570496345,0.3855262903097415,48.17462005615234,2.738152774932059,1.8370818138122558,0.0157366103071214,-0.8259827417925978,-1.6390013534205148,-1.6216744099283276,-0.71787075366382,-1.2201295264429133
8,9,0.1,"(4,)",25,lbfgs,-1.2450112138245066,0.5941165508813211,31.230147552490234,2.405059166858135,1.7853764533996581,0.021278987516870337,-0.8435421506651665,-1.9023606722668418,-2.031738610015073,-0.7912763998842071,-0.6561382362912437
9,10,0.01,"(4,)",25,lbfgs,-1.2450395552974496,0.5941540175085394,31.274315357208252,1.7197881253322291,1.8060229301452637,0.009732795474390956,-0.8435421513635729,-1.9023608152721434,-2.0318800345977177,-0.7912765391152814,-0.6561382361385324
10,11,0.0001,"(4,)",25,lbfgs,-1.2450395605711495,0.5941540198491922,30.068743991851807,2.0789986345240745,1.7452038288116456,0.025920918575750344,-0.8435421514412454,-1.902360831077425,-2.031880035686889,-0.7912765485286966,-0.6561382361214925
11,12,0.001,"(4,)",25,lbfgs,-1.2450399906340948,0.5941545877273908,37.13180842399597,2.619197278100697,2.0245172023773192,0.07626282087078179,-0.8435421514340458,-1.9023608296945618,-2.0318821832746994,-0.7912765526438146,-0.6561382361233523
12,13,0.1,"(8,)",25,adam,-1.2518895411788602,0.54245956811638,334.2563087463379,20.83404850253254,1.914963388442993,0.05719949964130776,-0.9827400907861078,-1.3751130581558346,-2.180437796840786,-0.5325267524951464,-1.1886300076164262
13,14,0.01,"(8,)",25,adam,-1.2590602487599143,0.5488142091996555,781.3609448909759,156.8276745931693,2.961578369140625,0.4621903265803241,-0.9824935302756447,-1.3544643404502077,-2.2166571261070076,-0.5530560576736263,-1.1886301892930848
