,rank_test_score,param_mlpregressor__alpha,param_mlpregressor__hidden_layer_sizes,param_mlpregressor__max_iter,param_mlpregressor__solver,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0,1,0.0001,"(4, 8)",25,adam,-0.8113838882296329,0.458102087214331,464.85555815696716,122.23433109669435,2.2082894802093507,0.32020514431482816,-0.6944068177959757,-0.6177240260750265,-1.668342231686807,-0.29896527809202245,-0.7774810874983331
1,2,0.01,"(4, 8)",25,adam,-0.8186632931441764,0.45593907044625664,532.8837053775787,135.55508423621242,2.480311393737793,0.2242437247647325,-0.6944330416047242,-0.653743335013307,-1.669623038041672,-0.29815158965701927,-0.7773654614041596
2,3,0.001,"(4, 8)",25,adam,-0.8191131250371694,0.45602924336532286,470.1198553562164,127.22110501707742,2.3004894256591797,0.4049086213578364,-0.6944432790205621,-0.6520771960657946,-1.6710249315181331,-0.3005770399961775,-0.7774431785851795
3,4,0.1,"(4, 8)",25,adam,-0.854159781754223,0.5263734925811955,318.0385528087616,23.37347253856482,1.8546295642852784,0.05752046894326562,-0.694429314871589,-0.641460556786626,-1.855842758492282,-0.3015816190899202,-0.7774846595306978
4,5,0.01,"(4, 4)",25,adam,-0.890623840103369,0.5597065420158113,622.192378616333,33.153509881131704,2.733971929550171,0.267329465483494,-0.7329188737967596,-0.6898213761365061,-1.961624605097863,-0.31043681761026837,-0.7583175278754477
5,6,0.0001,"(4, 4)",25,adam,-0.8986329363041395,0.5520456756407608,591.3979201316833,36.606715907348715,2.656185531616211,0.20378529224289044,-0.7328978809679793,-0.6899969584774766,-1.9616161139752406,-0.34726590519554046,-0.7613878229044614
6,7,0.1,"(4, 4)",25,adam,-0.9000867301321203,0.5596863749788284,366.30370807647705,9.534267487725007,2.0093431949615477,0.06194639077637943,-0.732917975248162,-0.6899505857112399,-1.9616258442393497,-0.29991141345392913,-0.8160278320079206
7,8,0.001,"(4, 4)",25,adam,-0.9456846665463259,0.5590516931073464,622.2086145401001,35.63482040880043,2.706350803375244,0.29366935699814956,-0.7329166489141857,-0.6898643185476702,-1.9616202916946102,-0.30454675800826875,-1.0394753155668945
8,9,0.1,"(4, 4)",25,lbfgs,-1.5079438748362373,0.4468227982090657,50.57322459220886,11.949906081743285,2.005192232131958,0.024358022059494236,-1.1832245685040252,-1.9007989639821805,-2.0379489426693325,-0.8355882331640255,-1.5821586658616233
9,10,0.01,"(4, 4)",25,lbfgs,-1.5079738812238153,0.4468010000356013,41.95958847999573,10.963282271096466,1.9078558444976808,0.12836009009186364,-1.1833746018911095,-1.9007989640531027,-2.0379489427002286,-0.8355882179105607,-1.582158679564075
10,11,0.001,"(4, 4)",25,lbfgs,-1.507973925550374,0.4468009678834349,40.06073760986328,11.427882065030865,1.7582758903503417,0.028352109733219596,-1.1833748232735268,-1.9007989640931284,-2.0379489427027293,-0.8355882179105769,-1.5821586797719076
11,12,0.0001,"(4, 4)",25,lbfgs,-1.5079739313329772,0.4468009636864567,40.026080226898195,11.815468904300772,1.7920390129089356,0.019576484582621602,-1.1833748521647178,-1.9007989640940428,-2.037948942702869,-0.8355882179105626,-1.582158679792692
12,13,0.001,"(4, 8)",25,lbfgs,-1.5797079221160795,0.9035987490949458,63.84234938621521,4.362142305258915,2.0402167797088624,0.019172600994677356,-0.7383943102526914,-3.101890641674668,-2.0450661020259857,-0.7031738286351858,-1.3100147279918664
13,14,0.01,"(4, 8)",25,lbfgs,-1.579707922123291,0.9035987490945938,59.96746349334717,7.242425601778893,1.9775572299957276,0.11742560587967764,-0.7383943102492136,-3.101890641674757,-2.0450661020350465,-0.7031738286362943,-1.3100147280211438
14,15,0.1,"(4, 8)",25,lbfgs,-1.5797079223415869,0.9035987490139661,55.5032142162323,3.464853102201504,1.8429407119750976,0.0395107148048107,-0.7383943102365074,-3.101890641673967,-2.045066101933067,-0.7031738286376104,-1.3100147292267827
15,16,0.0001,"(4, 8)",25,lbfgs,-1.5797079223961068,0.9035987490113617,56.209557390213014,5.8167510767394575,1.849633264541626,0.09316188618678578,-0.7383943102526729,-3.101890641675038,-2.0450661020255643,-0.7031738286358256,-1.310014729391433
